time,pr,tas,bucket_mrro,google_mrro,google_dis,bucket_snw
2005-03-18,2.713725,1.857884,0.9642823500000001,0.3960627889824053,1.146015014416682,0.0
2005-03-19,0.0,1.065218,0.9584966559000001,0.0232017223766689,0.0671346133584171,0.0
2005-03-20,0.0,2.514638,0.9527456759646001,0.0056269216711513,0.0162816020577294,0.0
2005-03-21,0.253761,-4.694423,0.9433037429207486,0.0092956851246128,0.0268972370503844,0.253761
2005-03-22,0.0,0.489425,0.9374107694421263,0.0111677727762327,0.0323141573386363,0.0
2005-03-23,0.480056,1.969624,0.9290769148449461,0.0112362731530168,0.0325123644473868,0.0
2005-03-24,21.40515,3.282326,1.037403678119973,0.2308726712785969,0.6680343497644586,0.0
2005-03-25,0.0,3.380471,1.0311792560512532,0.2814378524377048,0.8143456378405812,0.0
2005-03-26,0.0,2.62803,1.0237015385149457,0.2561756507034829,0.7412489893040595,0.0
2005-03-27,2.764757,3.427946,1.016010063283856,0.2125725498794395,0.6150826096048597,0.0
2005-03-28,0.0,3.489326,1.009914002904153,0.221111905145861,0.6397913922044589,0.0
2005-03-29,0.0,3.982116,1.002123488886728,0.2087110331235919,0.6039092393622453,0.0
2005-03-30,0.0,1.775311,0.9887576219534079,0.194679514239624,0.5633087796285418,0.0
2005-03-31,0.0,4.211352,0.9772470502216875,0.197960620852271,0.5728027223734695,0.0
2005-04-01,0.971671,7.242258,0.9637573039203574,0.1979956389821069,0.5729040479806334,0.0
2005-04-02,0.0,10.335083,0.9536218305591159,0.1896522623721352,0.5487623332527062,0.0
2005-04-03,0.0,11.781708,0.9352242521748036,0.1941189169856727,0.5616866810928031,0.0
2005-04-04,0.0,9.747329,0.915934367380149,0.186889669822321,0.5407687205506975,0.0
2005-04-05,0.220173,12.56101,0.8986024541149027,0.1837899509786922,0.5317996266744567,0.0
2005-04-06,0.0,8.320852,0.8805377686110738,0.1766548534363465,0.5111540898042436,0.0
2005-04-07,0.0,7.582933,0.8648660747259849,0.1709109586135326,0.4945340237660089,0.0
2005-04-08,0.0,5.75595,0.8499877718154302,0.1543464616714374,0.4466043451141128,0.0
2005-04-09,0.0,8.495868,0.8367056080560834,0.1491699219872799,0.4316259316761573,0.0
2005-04-10,0.0,8.307888,0.8215271536506299,0.1430136426091621,0.4138126232903998,0.0
2005-04-11,0.0,7.851167,0.8067128168640828,0.1388635334587462,0.4018042056097982,0.0
2005-04-12,0.0,7.850826,0.7924514998653821,0.1295295123863127,0.3747960427844696,0.0
